Age,Gender,Country,work_interfere,tech_company,care_options,mental_health_consequence,phys_health_consequence,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
25,Male,Germany,NA,Yes,Yes,Maybe,Maybe,Yes,Yes,Yes,No
37,male,United States,NA,Yes,Yes,No,No,Maybe,Maybe,Yes,No
29,Male,Netherlands,NA,Yes,No,No,No,No,Maybe,Yes,No
27,Man,United States,NA,Yes,Not sure,No,No,No,No,Don't know,No
33,Male,United Kingdom,NA,Yes,No,Maybe,No,No,Maybe,Don't know,No
30,male,Canada,Sometimes,No,No,Yes,No,No,Yes,No,Yes
29,male,Canada,NA,Yes,Yes,Maybe,Maybe,No,Maybe,Don't know,No
25,Male,United States,Never,Yes,No,Yes,No,No,No,No,No
33,Male,United States,Sometimes,No,Yes,No,No,Maybe,Maybe,Don't know,No
31,Male,South Africa,Never,Yes,No,No,No,No,Maybe,No,No
21,male,Germany,Rarely,Yes,No,Maybe,Maybe,No,Maybe,No,No
30,Male,Switzerland,Sometimes,Yes,No,Yes,Yes,No,No,No,No
29,Male,United States,NA,No,Not sure,No,No,No,No,No,No
43,Male,Croatia,Sometimes,Yes,No,Yes,No,No,Maybe,No,Yes
37,m,United Kingdom,Often,Yes,No,Yes,No,Maybe,Yes,No,No
24,Male,France,NA,Yes,No,Maybe,No,No,No,Don't know,No
29,Male,United States,NA,Yes,Not sure,No,No,No,No,Don't know,No
31,Male,United States,NA,No,Yes,No,No,No,No,Don't know,No
5,Male,United States,NA,Yes,Not sure,No,No,No,No,Yes,No
33,Male,United Kingdom,Never,No,Not sure,No,No,No,Yes,No,No
43,male,United States,NA,No,Yes,No,No,No,Maybe,Don't know,No
33,Male,United Kingdom,Sometimes,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
27,Male,United Kingdom,NA,Yes,No,Maybe,No,No,Yes,Yes,No
36,Male,United States,Sometimes,No,No,Yes,Maybe,No,Maybe,Don't know,No
37,male,Australia,Sometimes,Yes,Yes,No,No,No,Maybe,Yes,Yes
32,male,Belgium,NA,Yes,Yes,Yes,Maybe,No,No,No,No
39,Male,United Kingdom,Sometimes,Yes,No,No,No,No,Yes,Yes,No
31,Male,United States,Sometimes,Yes,Yes,Maybe,No,Maybe,Yes,Don't know,No
36,Male,United States,Sometimes,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Don't know,No
30,Male,United States,Sometimes,Yes,Not sure,No,No,No,Yes,Don't know,No
28,male,Canada,NA,Yes,Not sure,No,No,Maybe,Maybe,Yes,No
32,Male,Italy,NA,Yes,No,Maybe,No,Maybe,Maybe,No,No
35,Male,United States,Rarely,Yes,Yes,No,No,No,No,Yes,No
19,Male,Canada,Sometimes,Yes,Not sure,No,No,No,Yes,Don't know,No
33,m,Norway,NA,Yes,Yes,No,No,No,No,Don't know,No
42,male,Germany,NA,Yes,Not sure,No,No,No,Maybe,Yes,No
37,Male,United States,Sometimes,Yes,Not sure,Maybe,No,No,No,Don't know,No
40,Male,Thailand,Never,Yes,No,No,No,Maybe,Maybe,Yes,No
36,M,United States,Never,Yes,Yes,No,No,No,No,Yes,No
29,Female,United States,Sometimes,No,No,Maybe,No,No,Maybe,Don't know,No
38,f,United States,Sometimes,No,Not sure,Maybe,No,No,No,Don't know,No
26,M,United States,Sometimes,Yes,No,Yes,Maybe,No,Maybe,No,No
34,male,Germany,Rarely,Yes,No,Maybe,Maybe,Maybe,Maybe,Yes,No
21,Male,United States,Often,No,Yes,Yes,No,No,Yes,No,Yes
31,Male,Canada,Sometimes,Yes,Yes,No,No,No,No,Yes,No
37,Female,United States,Rarely,No,Yes,Maybe,Maybe,No,Maybe,Yes,No
37,Male,Ireland,Sometimes,Yes,No,No,No,Maybe,Maybe,Yes,No
38,Male,Ireland,Sometimes,Yes,No,Yes,Yes,No,No,No,No
27,Female,United States,Sometimes,Yes,Not sure,Yes,No,No,Maybe,No,No
39,Male,Netherlands,NA,Yes,No,No,No,Maybe,Maybe,Yes,No
33,Female,United States,Sometimes,Yes,Yes,Maybe,Yes,No,No,No,No
27,Male,United Kingdom,Never,Yes,Not sure,No,No,Yes,Yes,Don't know,No
36,F,United States,Never,Yes,No,Maybe,Maybe,No,No,No,No
28,Male,United Kingdom,Never,Yes,Not sure,No,No,Maybe,Yes,Don't know,No
39,male,United Kingdom,Sometimes,No,No,Maybe,Maybe,No,No,Don't know,No
33,Male,United States,Sometimes,Yes,Yes,Maybe,Maybe,No,No,Yes,No
32,Male,United Kingdom,NA,No,Not sure,Maybe,No,No,Yes,Don't know,No
28,Male,United Kingdom,NA,No,Not sure,No,No,Yes,Yes,No,No
37,Male,United Kingdom,Rarely,Yes,No,Yes,No,No,Maybe,No,Yes
39,Male,Canada,Sometimes,No,Yes,Yes,No,No,Maybe,No,Yes
43,msle,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,No,No
32,Neuter,United Kingdom,Sometimes,No,No,No,No,Yes,Yes,Yes,Yes
27,Female,United States,NA,Yes,Not sure,Maybe,No,No,No,Don't know,No
31,Female,United Kingdom,NA,Yes,No,No,No,Maybe,Maybe,Don't know,No
43,Male,United Kingdom,Never,Yes,No,No,No,Yes,Yes,Don't know,No
33,Male,United States,Sometimes,Yes,Yes,No,No,Yes,Yes,Don't know,No
34,male,United Kingdom,Sometimes,Yes,Not sure,No,No,No,Maybe,Yes,No
33,M,United States,NA,Yes,No,No,No,No,Maybe,Don't know,No
25,Male,United States,NA,Yes,No,No,No,No,No,Don't know,No
25,Male,United States,Sometimes,No,Yes,Maybe,No,No,No,No,Yes
32,Male,United Kingdom,NA,Yes,Yes,No,No,No,Maybe,No,No
25,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
37,Male,Netherlands,NA,No,No,Maybe,No,No,No,Don't know,No
39,m,Switzerland,Never,Yes,Yes,No,No,No,Maybe,Yes,No
29,M,United Kingdom,Rarely,Yes,Not sure,No,No,No,Maybe,Don't know,Yes
33,Male,United States,Sometimes,Yes,Yes,Maybe,Maybe,No,No,Don't know,No
37,female,United States,Often,Yes,Not sure,Yes,No,No,Yes,No,Yes
35,Female,United States,Sometimes,No,No,Yes,Maybe,No,Yes,No,Yes
22,Female,United States,Sometimes,Yes,Not sure,Yes,Maybe,No,Maybe,No,Yes
38,Male,United States,Never,Yes,Yes,Maybe,No,No,Maybe,No,Yes
32,Female,United States,Often,Yes,No,Yes,No,No,No,Don't know,No
28,Male,Brazil,NA,Yes,No,Maybe,No,Maybe,Yes,No,Yes
27,Male,Switzerland,NA,Yes,No,Maybe,No,No,Yes,No,No
35,female,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,Yes,No
29,Male,United States,Never,No,Yes,Yes,Maybe,No,Maybe,Don't know,No
23,Male,United States,Sometimes,Yes,Yes,No,No,Maybe,Maybe,Yes,No
39,M,United States,NA,Yes,No,Yes,Maybe,No,No,Don't know,No
30,Female,United States,NA,Yes,Yes,No,No,No,No,Yes,No
32,M,United Kingdom,NA,Yes,Not sure,Maybe,Maybe,Maybe,Maybe,Don't know,No
28,Female (trans),United States,Sometimes,Yes,Yes,Yes,Maybe,No,No,No,Yes
40,female,United States,Sometimes,No,Yes,Maybe,No,No,No,Don't know,Yes
36,f,United States,NA,Yes,No,No,No,No,Maybe,Yes,No
27,Male,United States,NA,Yes,Not sure,No,No,Maybe,Maybe,Yes,No
41,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,No,No
29,Male,United Kingdom,Never,Yes,No,Maybe,No,No,Maybe,Don't know,No
29,m,United Kingdom,Sometimes,Yes,No,No,No,No,Maybe,No,No
35,Male,United States,Often,No,No,Yes,No,No,Yes,No,Yes
28,Male,United States,Never,Yes,Yes,Maybe,Maybe,No,No,Don't know,No
36,F,United Kingdom,Sometimes,Yes,Not sure,Maybe,No,No,No,Don't know,No
39,Female,United States,Sometimes,Yes,Not sure,Yes,No,No,Yes,Don't know,No
39,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,No,Don't know,No
44,male,United States,Sometimes,Yes,Yes,Yes,Yes,No,No,Yes,No
26,queer,Germany,Sometimes,Yes,Not sure,No,No,Maybe,Maybe,Yes,No
35,Male,Denmark,Often,Yes,Yes,No,No,Maybe,Yes,Yes,No
40,Female,United States,Sometimes,No,Not sure,Yes,Maybe,No,No,Don't know,No
35,Male,Denmark,Often,Yes,Yes,No,No,Maybe,Yes,Yes,No
38,M,United States,Never,Yes,Yes,Yes,Yes,No,No,Don't know,No
34,Male,United States,NA,Yes,Not sure,No,No,No,Maybe,Yes,No
43,M,United States,NA,Yes,No,No,No,No,Maybe,Don't know,No
48,Female (cis),United States,Often,Yes,No,Yes,Yes,No,No,No,Yes
20,Male,United States,Never,Yes,Not sure,No,No,Maybe,Maybe,Yes,No
40,M,United States,Sometimes,Yes,Not sure,Yes,Maybe,No,No,Don't know,No
29,female,United Kingdom,Rarely,Yes,No,Maybe,No,No,Maybe,Don't know,No
35,Male,United States,Sometimes,No,Yes,No,No,No,No,Yes,No
29,Male,United States,Sometimes,No,Yes,Maybe,No,No,No,Yes,No
40,M,United States,Never,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
29,Male,Sweden,Rarely,Yes,Yes,No,No,No,No,Yes,No
29,F,United States,Rarely,Yes,Not sure,No,No,No,Maybe,Don't know,No
34,male,United States,Sometimes,Yes,No,Yes,No,No,Yes,Don't know,No
44,Male,United Kingdom,Sometimes,No,No,Maybe,No,No,Maybe,No,Yes
24,female,United States,Often,Yes,Yes,No,No,No,Yes,No,Yes
47,F,United States,NA,Yes,No,Yes,Yes,No,No,No,No
43,m,United Kingdom,NA,No,No,Maybe,No,No,Maybe,Don't know,No
36,M,United States,Rarely,Yes,Yes,No,No,No,No,No,No
43,male,United States,Sometimes,No,No,Maybe,No,No,No,Don't know,No
36,male,United Kingdom,Sometimes,Yes,No,No,No,No,Maybe,Don't know,Yes
31,Female,United States,Sometimes,Yes,Yes,No,No,Maybe,Maybe,Don't know,No
35,Male,United States,Sometimes,Yes,Not sure,Maybe,No,No,No,Don't know,No
33,male,United States,NA,No,No,No,No,No,No,Don't know,No
37,Male,Italy,Sometimes,Yes,Not sure,Yes,Yes,No,No,No,No
34,M,United States,Sometimes,Yes,No,Maybe,No,No,No,Don't know,No
36,Male,Netherlands,Sometimes,Yes,No,No,No,No,No,Yes,No
40,m,United States,Sometimes,Yes,Yes,No,No,No,No,Yes,No
40,M,United States,Rarely,Yes,Yes,No,No,No,Maybe,Don't know,No
42,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
23,M,United States,NA,Yes,Yes,Maybe,No,No,No,Don't know,No
21,Male,United Kingdom,Never,No,No,Maybe,No,No,Maybe,Don't know,No
26,Male,Canada,Sometimes,Yes,No,Yes,Maybe,No,Maybe,Don't know,No
31,Male,United States,NA,Yes,Not sure,Maybe,No,No,No,Don't know,No
25,M,United States,NA,Yes,Yes,No,No,Maybe,Yes,Yes,No
51,Male,United States,Never,Yes,Yes,No,No,No,No,Yes,No
24,Male,United States,NA,Yes,Not sure,No,No,No,Maybe,Don't know,No
33,Male,United States,NA,Yes,No,Maybe,No,No,No,No,No
32,male,United Kingdom,Rarely,No,No,Yes,Maybe,No,No,No,No
32,male,United Kingdom,Rarely,No,No,Yes,Maybe,No,No,No,No
26,Male,United Kingdom,Rarely,Yes,Not sure,No,No,Maybe,Maybe,Yes,No
23,M,United States,Never,No,No,Maybe,No,Maybe,Maybe,Don't know,No
33,Male,United States,Often,Yes,Yes,Yes,No,No,Maybe,No,No
46,Male,United States,Rarely,No,Yes,Yes,Maybe,No,Maybe,Yes,No
34,male,United Kingdom,NA,Yes,No,Yes,Maybe,No,Yes,No,Yes
35,M,United States,Sometimes,Yes,Yes,Maybe,Maybe,No,No,Don't know,No
39,M,United States,NA,Yes,Yes,Maybe,Maybe,Maybe,Maybe,No,No
32,male,Germany,Sometimes,Yes,Yes,No,No,Maybe,Maybe,No,No
43,Male,Mexico,NA,Yes,No,No,No,No,Maybe,Don't know,No
56,m,United States,Rarely,Yes,Yes,No,No,Yes,Yes,Yes,No
32,Female,United Kingdom,Sometimes,Yes,No,Maybe,No,No,Yes,Don't know,Yes
41,male,United Kingdom,NA,No,Yes,Maybe,Maybe,No,Yes,No,Yes
39,Male,United States,NA,Yes,Not sure,No,No,No,No,Don't know,No
37,Male,United States,NA,No,Yes,Maybe,No,No,No,No,No
30,m,United States,Sometimes,Yes,Not sure,Yes,No,No,Maybe,Don't know,No
31,Male,United States,NA,Yes,No,Maybe,No,No,Maybe,No,No
29,M,United States,NA,No,Not sure,Maybe,No,No,Maybe,Don't know,No
23,Female,United Kingdom,Never,No,No,Yes,Maybe,No,Maybe,Don't know,No
31,male,United States,Never,Yes,Yes,Maybe,No,No,No,Don't know,No
29,Male,United States,Sometimes,Yes,Not sure,Maybe,No,No,No,Yes,No
30,Mail,United States,Never,Yes,Yes,No,No,Maybe,Maybe,Yes,No
37,Male,United States,Never,Yes,No,Maybe,No,No,No,Yes,Yes
36,male,United States,Never,Yes,No,No,No,Yes,Yes,Yes,No
35,Male,United States,Sometimes,Yes,Yes,Maybe,Maybe,No,Maybe,No,No
41,M,United States,Never,No,No,Maybe,No,No,No,Don't know,No
31,Male,United Kingdom,Rarely,Yes,Not sure,No,No,No,No,Don't know,No
38,m,United Kingdom,NA,No,Yes,No,No,No,Maybe,No,No
26,Male,India,NA,Yes,No,No,No,No,No,Yes,No
39,Male,United States,Sometimes,Yes,No,Maybe,Maybe,Maybe,Maybe,Don't know,Yes
42,male,United States,Sometimes,No,Not sure,Maybe,Maybe,No,Maybe,Don't know,No
32,Male,United States,Rarely,Yes,Yes,Yes,No,No,Maybe,Don't know,No
29,m,United States,NA,Yes,Not sure,No,No,No,No,Don't know,No
30,Male,United States,Never,Yes,No,Yes,Yes,Maybe,Maybe,No,No
40,M,United States,Often,Yes,Not sure,Maybe,Maybe,No,Yes,Don't know,No
51,m,United States,NA,No,Not sure,No,No,No,No,Don't know,No
33,Male,United States,Never,Yes,Yes,No,No,No,No,Yes,No
34,male,Germany,Sometimes,Yes,Not sure,Maybe,Maybe,No,No,Don't know,No
50,Male,United States,Never,Yes,Yes,No,No,No,Maybe,Yes,No
24,Male,United States,Sometimes,Yes,No,No,No,No,Maybe,No,No
25,Male,United States,Rarely,No,No,Yes,Maybe,No,Maybe,No,No
43,Male,United Kingdom,Rarely,Yes,No,Yes,Yes,No,No,No,Yes
25,f,United States,Often,Yes,Yes,Maybe,Maybe,No,No,Yes,Yes
24,Male,United Kingdom,NA,Yes,Yes,No,No,No,Maybe,Yes,No
51,m,United States,Never,Yes,Yes,No,No,Maybe,Maybe,Don't know,No
49,Male,United States,Sometimes,Yes,Yes,Yes,Maybe,No,Maybe,No,Yes
30,Male,United States,NA,Yes,No,Yes,Maybe,No,No,Don't know,No
25,female,United States,Sometimes,Yes,Yes,Yes,Yes,No,No,No,No
36,Male,United States,Rarely,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
48,Male,United States,Never,Yes,Yes,Maybe,Maybe,No,Maybe,Yes,Yes
48,male,Australia,Sometimes,Yes,No,Yes,No,No,Maybe,No,Yes
53,Male,United States,Rarely,Yes,Yes,Maybe,Maybe,No,No,Don't know,No
24,Female,United Kingdom,Often,Yes,No,No,No,No,No,Don't know,No
33,Male,United States,Sometimes,Yes,Yes,No,No,No,No,Don't know,No
25,Female,Canada,Sometimes,Yes,Yes,No,No,No,No,Don't know,No
30,Male,United Kingdom,Sometimes,Yes,No,Yes,Maybe,No,Maybe,No,No
30,Male,United States,Never,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Don't know,No
34,male,United Kingdom,Sometimes,Yes,No,No,No,No,No,Yes,No
31,Male,United States,NA,Yes,Yes,No,No,Maybe,Yes,Yes,No
22,F,United States,Often,Yes,Not sure,Yes,Yes,No,No,Don't know,No
28,Male,United States,Sometimes,Yes,Not sure,No,No,No,Yes,Don't know,No
35,Male,United States,Rarely,No,Yes,Maybe,No,No,No,No,No
28,Male,United States,Sometimes,No,No,Maybe,Maybe,No,No,Yes,No
42,male,New Zealand,Sometimes,No,Yes,Yes,Maybe,No,Yes,No,Yes
33,Male,United States,NA,Yes,No,No,No,Yes,Yes,Yes,No
29,male,United States,Sometimes,Yes,No,Yes,Maybe,No,No,Don't know,No
43,M,United States,Sometimes,No,Not sure,Maybe,No,No,Maybe,No,No
29,Male,United States,NA,Yes,Yes,No,No,Maybe,Maybe,Yes,No
25,Male,United States,NA,Yes,No,No,No,Maybe,Maybe,Don't know,No
31,Male,United States,Never,Yes,No,No,No,No,No,Don't know,No
35,Female,United States,Sometimes,No,Not sure,Maybe,Maybe,No,Maybe,Yes,No
34,male,United States,Often,Yes,No,No,No,No,Maybe,Yes,No
43,Cis Male,United States,Sometimes,Yes,Yes,Yes,Maybe,No,Maybe,No,Yes
38,Male,United States,Sometimes,Yes,Not sure,Yes,Yes,No,Maybe,No,No
26,Male,United States,Sometimes,Yes,Not sure,Maybe,No,Yes,Yes,No,Yes
38,Male,United Kingdom,Rarely,No,No,Maybe,No,No,No,No,No
42,Male,United States,Often,Yes,No,Yes,Maybe,No,Maybe,Don't know,No
33,Male,Netherlands,NA,Yes,No,No,No,Maybe,Maybe,Yes,Yes
32,Male,United States,Rarely,Yes,Yes,Maybe,No,No,No,Don't know,No
44,male,United States,Sometimes,Yes,Yes,Maybe,Maybe,No,Maybe,No,No
28,Male,United States,Rarely,Yes,Yes,Maybe,No,No,No,No,No
40,Male,United States,Sometimes,Yes,Yes,Yes,No,No,Maybe,Don't know,Yes
31,F,United States,Sometimes,Yes,Yes,Maybe,No,No,No,Yes,No
32,male,United States,Sometimes,Yes,Yes,Yes,No,No,No,Don't know,No
28,Male,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,No,No
39,Male,United States,Often,Yes,Yes,Yes,No,No,No,No,No
45,Male,United States,NA,No,Yes,No,No,No,No,Yes,No
43,Male,United States,Rarely,Yes,Yes,No,No,Maybe,Yes,Yes,No
35,Male,United States,Sometimes,Yes,Yes,Maybe,Maybe,No,No,Don't know,No
40,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,No,Don't know,No
34,Male,Netherlands,Rarely,Yes,Yes,No,No,Maybe,Maybe,Yes,No
24,Male,United Kingdom,Often,No,Yes,Yes,Maybe,No,Maybe,No,Yes
61,male,South Africa,Sometimes,Yes,No,Yes,Maybe,No,Maybe,No,Yes
36,Female ,United States,Rarely,Yes,No,Yes,Maybe,No,No,Don't know,No
38,Male,United States,NA,Yes,No,Maybe,No,Maybe,Maybe,Don't know,No
33,male,Germany,Often,Yes,Not sure,No,No,Yes,Yes,Yes,No
30,male,United States,Never,No,No,Yes,Maybe,No,No,No,No
34,male,Netherlands,Rarely,Yes,Yes,No,No,No,Maybe,Yes,No
26,Male,United States,Rarely,Yes,Not sure,No,No,No,Maybe,No,No
33,M,United Kingdom,NA,Yes,Not sure,No,No,Maybe,Maybe,Don't know,No
32,Male,United Kingdom,NA,Yes,No,No,No,No,Maybe,No,No
25,male,Germany,Sometimes,Yes,Yes,No,No,Yes,Yes,Yes,No
35,male,Germany,Sometimes,No,No,Yes,Maybe,No,Maybe,Don't know,No
24,M,United Kingdom,Often,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
55,male,United Kingdom,Often,No,Yes,Yes,Maybe,No,Maybe,No,Yes
33,Male,United Kingdom,Sometimes,Yes,Yes,Yes,Maybe,No,Maybe,No,Yes
26,Female,United Kingdom,Sometimes,Yes,No,Maybe,No,No,Maybe,Yes,No
25,Male,United Kingdom,Never,Yes,Not sure,No,No,No,No,Don't know,No
45,Male,United Kingdom,Rarely,No,No,Maybe,No,No,Maybe,Don't know,No
33,female,United Kingdom,Sometimes,Yes,Yes,No,No,No,No,Don't know,No
43,Male,United States,Sometimes,Yes,Not sure,Yes,Maybe,No,Maybe,No,Yes
30,Male,United Kingdom,Sometimes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
40,Male,United States,Rarely,Yes,Not sure,No,No,No,Maybe,Don't know,No
49,Male,United States,Never,Yes,Yes,No,No,No,No,Yes,No
29,Male,Germany,NA,Yes,Not sure,No,No,Maybe,Yes,Don't know,No
26,male,Germany,NA,Yes,No,No,No,Maybe,Maybe,Don't know,No
38,cis male,United States,Never,Yes,Yes,Maybe,Maybe,No,Maybe,No,Yes
27,Male,France,NA,No,Yes,Maybe,Maybe,No,Maybe,Don't know,Yes
26,male,Belgium,Never,Yes,No,Maybe,No,No,No,Don't know,No
28,Male,United Kingdom,Often,Yes,No,Maybe,Maybe,No,No,No,No
40,Male,United States,Sometimes,Yes,No,Maybe,Maybe,No,Maybe,No,No
37,Female,Canada,Rarely,Yes,Yes,Yes,Maybe,Maybe,Maybe,Don't know,Yes
34,female,United Kingdom,Often,No,Yes,Yes,Yes,No,No,Don't know,No
28,male,United States,Often,Yes,Not sure,Maybe,No,No,Yes,Don't know,No
27,Male,Canada,Never,Yes,Not sure,No,No,Maybe,Maybe,Yes,No
29,Male,United Kingdom,Sometimes,Yes,No,No,No,No,Yes,Yes,No
39,Female,United Kingdom,Rarely,Yes,Not sure,Yes,Yes,No,No,No,Yes
28,male,United Kingdom,Often,Yes,No,Yes,No,No,Yes,Yes,No
23,Male,United States,Sometimes,Yes,Not sure,No,No,No,Maybe,Don't know,No
8,A little about you,"Bahamas, The",Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
38,Male,United Kingdom,NA,Yes,No,No,No,No,No,Don't know,No
19,Male,United Kingdom,NA,Yes,No,No,No,No,No,Yes,No
30,Female,United States,Sometimes,Yes,Yes,No,No,No,No,Yes,No
28,male,United Kingdom,NA,Yes,Yes,Maybe,Maybe,No,No,Yes,No
20,Male,India,Sometimes,Yes,No,Yes,No,No,Maybe,Yes,No
35,Male,United Kingdom,Sometimes,Yes,Not sure,No,No,No,No,Don't know,No
39,male,United States,Rarely,Yes,Yes,Maybe,No,No,No,Don't know,No
31,Female,United States,Never,No,Not sure,Yes,Yes,No,No,Don't know,No
32,Male,United Kingdom,Rarely,Yes,No,Yes,No,No,No,Don't know,No
27,Male,Sweden,NA,Yes,No,No,No,No,No,Don't know,No
25,Male,United States,Often,Yes,Yes,No,No,Maybe,Maybe,Don't know,No
42,male,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,Don't know,No
34,male,United States,Often,Yes,Yes,No,No,Maybe,Maybe,Don't know,No
26,female,United States,Sometimes,Yes,No,Maybe,No,Maybe,Maybe,Don't know,Yes
35,Male,United Kingdom,Sometimes,Yes,Yes,Yes,Yes,No,Maybe,Yes,Yes
34,Male,United Kingdom,Never,Yes,No,Maybe,No,No,No,Yes,No
38,m,United States,Sometimes,No,Yes,No,No,Yes,Yes,Don't know,No
34,M,United States,Sometimes,Yes,No,Yes,No,No,Maybe,Don't know,No
39,M,United States,Sometimes,Yes,Yes,No,No,Maybe,Yes,Yes,No
44,F,United States,NA,Yes,Not sure,Yes,No,No,No,Don't know,No
40,male,United States,NA,No,Yes,Maybe,No,No,No,Don't know,No
33,female,United States,Never,Yes,Yes,Maybe,No,No,No,Yes,No
24,Female,United States,Sometimes,No,Yes,Yes,Maybe,No,No,No,Yes
38,Female,United States,Sometimes,Yes,Not sure,No,No,No,No,Don't know,No
31,male,United States,Sometimes,Yes,Not sure,Yes,Maybe,No,Maybe,Yes,No
23,Male,Israel,NA,Yes,Not sure,Maybe,No,Maybe,Yes,Don't know,No
26,F,United States,NA,Yes,Not sure,No,No,No,Maybe,Yes,No
46,Female (trans),United States,Often,No,Yes,Yes,No,No,No,No,Yes
30,Male,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,Don't know,No
25,Male,United States,Rarely,Yes,No,Yes,No,No,Yes,Don't know,Yes
19,M,Canada,Never,Yes,No,No,No,No,Maybe,No,No
30,Female,United States,Sometimes,No,Yes,Maybe,Maybe,No,No,No,Yes
32,m,United States,Never,Yes,Yes,No,No,No,Maybe,Yes,No
32,Male,United Kingdom,NA,Yes,No,Maybe,Maybe,No,Maybe,Don't know,No
37,Male,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,No,No
42,M,United States,Sometimes,Yes,No,Maybe,Maybe,No,No,Don't know,No
25,female,United States,Never,Yes,Yes,Maybe,No,Maybe,No,Yes,No
19,Male,United States,Sometimes,Yes,Not sure,No,No,Maybe,Maybe,Don't know,No
40,female,United States,Never,Yes,Yes,Yes,Yes,No,No,Don't know,No
34,Male,United States,NA,No,Not sure,Maybe,Maybe,No,No,Don't know,No
26,Male,United States,NA,Yes,Not sure,No,No,No,No,Yes,No
31,Male,United States,Rarely,Yes,Not sure,No,No,Maybe,Maybe,Yes,No
40,Male,United States,Sometimes,No,Not sure,Yes,Maybe,No,Maybe,No,No
31,Female,United States,Often,Yes,No,Yes,No,No,Yes,No,Yes
36,M,United States,Never,No,No,Yes,Maybe,No,Maybe,Don't know,Yes
35,Male,Canada,Sometimes,Yes,Yes,Maybe,No,No,No,Don't know,No
26,male,Australia,Sometimes,Yes,No,No,No,No,Maybe,Yes,No
44,m,United States,NA,No,No,Yes,No,No,No,No,No
34,Female,United States,Sometimes,Yes,Not sure,No,No,No,Maybe,Yes,No
35,Male,United States,NA,Yes,No,No,No,No,No,Don't know,No
28,female,United States,Sometimes,Yes,No,Yes,No,No,Maybe,No,No
33,Male,United States,NA,Yes,No,No,No,No,No,Yes,No
40,M,United States,Sometimes,Yes,Yes,Yes,No,No,Maybe,Don't know,No
26,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
29,f,United Kingdom,Often,No,Yes,Maybe,No,No,Yes,No,Yes
26,Female,Canada,Sometimes,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
33,Malr,Italy,Sometimes,Yes,Not sure,No,No,No,No,Don't know,No
28,Male,Brazil,Sometimes,Yes,No,No,No,No,No,Don't know,Yes
41,Male,United States,Often,No,Yes,No,No,No,No,Yes,Yes
39,Male,United Kingdom,Sometimes,Yes,Yes,No,No,No,Maybe,Yes,Yes
26,female,United States,Sometimes,Yes,Yes,No,No,No,Maybe,No,Yes
23,Female,United States,Sometimes,No,No,Yes,No,No,Maybe,No,No
35,Male,Switzerland,Often,Yes,Not sure,No,No,No,Maybe,No,No
36,Male,United States,Never,Yes,Not sure,No,No,No,No,Don't know,No
42,M,United States,Rarely,No,No,Maybe,No,No,Maybe,No,No
39,Male,United States,Sometimes,Yes,Yes,No,No,No,No,Yes,No
27,Male,United States,Never,Yes,No,Maybe,No,Maybe,Maybe,Don't know,No
33,male,United States,Never,Yes,No,Maybe,No,No,Maybe,Yes,No
31,Male ,Canada,Often,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
28,Female,United States,Rarely,Yes,Yes,No,No,No,Yes,Don't know,No
29,Female,United States,Often,No,No,No,No,Maybe,Maybe,Don't know,No
27,Male,United States,Sometimes,Yes,Not sure,Maybe,No,No,Maybe,No,No
44,M,United States,Never,Yes,No,No,No,No,No,Don't know,No
25,Male,United States,Often,Yes,No,Maybe,No,No,Maybe,Don't know,No
24,male,Germany,Sometimes,Yes,No,Maybe,No,No,No,Don't know,No
25,Male,South Africa,Often,No,No,No,No,No,Maybe,No,Yes
34,M,United States,Never,Yes,Not sure,Maybe,Maybe,No,Maybe,Don't know,No
26,Male,United States,Never,No,Yes,Maybe,No,No,No,Don't know,No
48,Male,United States,Never,No,Yes,Maybe,No,No,Maybe,Don't know,No
34,Male,Greece,NA,Yes,No,Yes,Maybe,No,Maybe,No,No
39,Female,United States,Sometimes,Yes,No,Maybe,Maybe,No,Maybe,No,No
43,Male,United States,Sometimes,Yes,Not sure,Maybe,No,No,No,Don't know,No
